Year,Brazil,China,India,Russian Federation,South Africa
1961,10.27591155,-27.27,3.722742533,,3.844751462
1962,5.21605942,-5.57999999,2.931127737,,6.177883095
1963,0.874672592,10.3,5.994353261,,7.373612785
1964,3.485582304,18.17999999,7.452950122,,7.939781669
1965,3.053487894,16.95,-2.63577011,,6.122760827
1966,4.150360233,10.65,-0.05532877,,4.438308267
1967,4.915265675,-5.770000004,7.82596303,,7.196575941
1968,11.42728238,-4.099999992,3.387929176,,4.153444814
1969,9.73582689,16.94,6.539700296,,4.715830609
1970,8.769947472,19.3,5.157229736,,5.248674135
1971,11.29508684,7.060000003,1.642930384,,4.278970429
1972,12.05280225,3.809999998,-0.553301312,,1.654762041
1973,13.97869165,7.760000002,3.295521135,,4.571997811
1974,9.042120313,2.31,1.18533626,,6.111054461
1975,5.209075901,8.72,9.149912015,,1.695448177
1976,9.790410161,-1.570000003,1.663103637,,2.249904054
1977,4.606318061,7.569999999,7.254764586,,-0.094037534
1978,3.231709563,11.666644,5.712532089,,3.014548966
1979,6.766284965,7.6,-5.238182703,,3.790503812
1980,9.110960155,7.80669145,6.735821528,,6.620585081
1981,-4.3933572,5.172413792,6.006203624,,5.360737419
1982,0.580245553,8.934426228,3.47573324,,-0.383390769
1983,-3.409793474,10.83521445,7.288892901,,-1.846544477
1984,5.26914315,15.13917176,3.820737856,,5.09911491
1985,7.945861749,13.44339623,5.254299223,,-1.211483719
1986,7.988295105,8.939708941,4.77656417,,0.017834778
1987,3.599629467,11.6889313,3.965355634,,2.100735221
1988,-0.102672718,11.23451516,9.62778292,,4.200132549
1989,3.279458858,4.185867897,5.947343328,,2.394784159
1990,-3.102355949,3.907113896,5.533454563,-2.999995642,-0.317785676
1991,1.511937238,9.294075913,1.056831433,-5.046939451,-1.018281146
1992,-0.46691321,14.21616358,5.482396022,-14.53107377,-2.136996308
1993,4.665168989,13.86757602,4.75077622,-8.668540341,1.233519912
1994,5.334551702,13.05215872,6.658924067,-12.56975598,3.234142952
1995,4.416731354,10.94922737,7.57449184,-4.143528406,3.11563361
1996,2.207535528,9.928372463,7.549522249,-3.6,4.306727868
1997,3.395028637,9.230769231,4.049820849,1.399999999,2.646829095
1998,0.338356179,7.837613919,6.184415821,-5.299999999,0.517360382
1999,0.469066587,7.66748617,8.845755561,6.4,2.358107754
2000,4.11256491,8.491508492,3.840991157,9.999999999,4.154544583
2001,1.389867166,8.33991055,4.823966264,5.091984231,2.735495291
2002,3.053303731,9.130645945,3.803975321,4.743669897,3.667796877
2003,1.141007013,10.03560303,7.860381475,7.295854331,2.949078146
2004,5.759876004,10.11122346,7.922943418,7.175949192,4.554569921
2005,3.202135213,11.39577594,9.284824616,6.376187027,5.277111735
2006,3.961902656,12.71947902,9.263964759,8.153431973,5.603664789
2007,6.069872846,14.23138804,9.801360337,8.535080209,5.36046514
2008,5.09434227,9.654289373,3.890957062,5.247953532,3.191051645
2009,-0.125873062,9.399813171,8.479783897,-7.820885027,-1.538100864
2010,7.528223562,10.63614046,10.25996306,4.503725626,3.039777063
2011,3.974425406,9.536443008,6.6383638,4.264176565,3.284197135
2012,1.921150318,7.85626211,5.456387552,3.517941865,2.213258978
2013,3.004865359,7.757635146,6.386106401,1.279453911,2.489283287
2014,0.503961791,7.297665959,7.505220233,0.731458212,1.699597618
2015,-3.769252669,6.900204824,8.01005265,-2.828240813,1.298851191
2016,-3.594739196,6.699999993,7.107034368,-0.224910984,0.279357422
