Year,Brazil,China,India,Russian Federation,South Africa
1960,15165569913,59716467625,36535925031,,7575248495
1961,15236854859,50056868958,38709096076,,7972840543
1962,19926293839,47209359006,41599070242,,8497830043
1963,23021477292,50706799903,47776000900,,9423211536
1964,21211892260,59708343489,55726873084,,10373792524
1965,21790035117,70436266147,58760424670,,11334173317
1966,27062716578,76720285970,45253641303,,12354752905
1967,30591834054,72881631327,49466168891,,13777124458
1968,33875881876,70846535056,52377324284,,14894302114
1969,37458898244,79705906247,57668330026,,16780064399
1970,42327600098,92602973434,61589800520,,18418031639
1971,49204456700,99800958648,66452561866,,20334172260
1972,58539008786,113688000000,70509913049,,21358137115
1973,79279057731,138544000000,84374541630,,29293948127
1974,105136000000,144182000000,98198276857,,36806475350
1975,123709000000,163432000000,97159222024,,38114942529
1976,152678000000,153940000000,101347000000,,36601885925
1977,176171000000,174938000000,119867000000,,40649724011
1978,200801000000,149541000000,135469000000,,46737580497
1979,224969000000,178283000000,150951000000,,57647268409
1980,235025000000,191150000000,183840000000,,82984078069
1981,263561000000,195865000000,190910000000,,89629496833
1982,281682000000,205092000000,198038000000,,82696902010
1983,203305000000,230686000000,215351000000,,88786580363
1984,209024000000,259946000000,209328000000,,87880468269
1985,222943000000,309486000000,229410000000,,69208451593
1986,268137000000,300759000000,245665000000,,82107924006
1987,294084000000,272973000000,275311000000,,107415000000
1988,330397000000,312354000000,292633000000,,118332000000
1989,425595000000,347767000000,292093000000,506500000000,128903000000
1990,461952000000,360859000000,316697000000,516814000000,115553000000
1991,602860000000,383373000000,266502000000,517963000000,123943000000
1992,400599000000,426915000000,284364000000,460291000000,134545000000
1993,437799000000,444731000000,275570000000,435084000000,134310000000
1994,558112000000,564325000000,322910000000,395077000000,139752000000
1995,785643000000,734548000000,355476000000,395531000000,155460000000
1996,850426000000,863746000000,387656000000,391720000000,147608000000
1997,883199000000,961603000000,410320000000,404927000000,152586000000
1998,863723000000,1029040000000,415731000000,270953000000,137774000000
1999,599389000000,1094000000000,452700000000,195906000000,136632000000
2000,655421000000,1211350000000,462147000000,259708000000,136362000000
2001,559373000000,1339400000000,478965000000,306603000000,121516000000
2002,507963000000,1470550000000,508069000000,345110000000,115482000000
2003,558320000000,1660290000000,599593000000,430348000000,175257000000
2004,669316000000,1955350000000,699689000000,591017000000,228594000000
2005,891630000000,2285970000000,808901000000,764017000000,257773000000
2006,1107640000000,2752130000000,920317000000,989931000000,271638000000
2007,1397080000000,3552180000000,1201110000000,1299710000000,299416000000
2008,1695820000000,4598210000000,1186950000000,1660840000000,286770000000
2009,1667020000000,5109950000000,1323940000000,1222640000000,295936000000
2010,2208870000000,6100620000000,1656620000000,1524920000000,375349000000
2011,2616200000000,7572550000000,1823050000000,2031770000000,416419000000
2012,2465190000000,8560550000000,1827640000000,2170140000000,396328000000
2013,2472810000000,9607220000000,1856720000000,2230630000000,366624000000
2014,2455990000000,10482400000000,2035390000000,2063660000000,350851000000
2015,1803650000000,11064700000000,2111750000000,1365870000000,317407000000
2016,1796190000000,11199100000000,2263520000000,1283160000000,294841000000
