Rank,Country,2017 score,Change from 2016,Change from 2015,Change from 2014,Change from 2013,Change from 2012,Change from 2011,Continent
1,South Sudan,113.9,0.1,0.7,0.9,3.2,5.4,,Africa
2,Somalia,113.4,0.6,,1.4,0.1,0.9,0.6,Africa
3,Central African Republic,112.6,0.5,0.2,1.5,6.8,8.3,7.1,Africa
4,Yemen,111.1,0.4,3.4,6.1,4.5,6.7,11.2,Africa
5,Sudan,110.6,0.9,0.7,1.4,0.5,2.1,2.8,Africa
6,Syria,110.6,0.2,2.9,9.2,13.4,16.3,24.9,Asia
7,Democratic Republic of the Congo,110,,0.3,0.2,1.9,1.2,1.8,Africa
8,Chad,109.4,0.7,1.7,1.4,1.1,2.5,0.2,Africa
9,Afghanistan,107.3,0.6,,1.4,1.2,1.9,0.4,Asia
10,Iraq,105.4,0.7,0.2,2.5,0.8,0.4,0.1,Asia
11,Haiti,105.3,0.2,0.6,0.8,0.7,0.2,2.9,Central America
12,Guinea,102.4,1.4,1.1,1.1,2.5,1.9,1.3,Africa
13,Nigeria,101.6,1.9,1.1,3.8,2.8,2.4,3.6,Africa
13,Zimbabwe,101.6,1.1,0.5,2.3,4.7,5.8,7.4,Africa
15,Ethiopia,101.1,3.9,0.3,0.7,1.7,0.7,1,Africa
16,Guinea-Bissau,99.5,0.3,0.1,0.8,1.3,0.6,1.5,Africa
17,Burundi,98.9,1.8,2.6,3.6,3.1,3.2,2.1,Africa
17,Pakistan,98.9,2.8,1.2,1.3,1.2,0.1,0.6,Asia
19,Eritrea,98.1,0.5,1.7,3.1,3.6,4.1,5,Africa
20,Niger,97.4,1,0.6,0.5,0.6,1.5,0.7,Africa
21,Côte d'Ivoire,96.5,1.4,2.1,3.8,5.6,5.7,4.9,Africa
22,Kenya,96.4,1.9,0.9,0.7,1.3,0.1,0.4,Africa
23,Libya,96.3,0.1,1.1,8.6,11.9,11.5,27.7,Africa
24,Uganda,96,1.7,0.7,1.7,1.1,1.2,1.4,Africa
25,Myanmar,95.7,0.6,1.6,2,1.7,0.1,2,Asia
26,Cameroon,95.6,2.2,3.5,4.7,4.3,4.7,3.2,Africa
27,Liberia,93.8,1.7,1.8,1.2,0.4,2.2,1.5,Africa
28,Mauritania,93.7,1.7,0.5,2.4,3.7,7.8,7.4,Africa
29,Republic of the Congo,93.4,1.2,1.4,2.6,2.2,2.1,0.8,Africa
30,North Korea,93.3,0.6,0.1,0.1,1.2,1.6,1.7,Asia
31,Mali,92.9,2.3,2.1,5.4,5.9,17.3,15.9,Africa
32,Angola,91.1,0.6,2.4,3.1,3.4,5.4,5.9,Africa
33,Nepal,91,0.2,0.7,0.2,0.6,1.8,2.5,Asia
34,Rwanda,90.8,0.5,1.1,0.8,2,2,0.3,Africa
35,Timor-Leste,90.5,0.3,0.2,0.2,0.7,1.9,4.1,Asia
36,Egypt,89.8,0.4,0.2,0.8,0.4,0.2,3.4,Africa
37,Gambia,89.4,2.6,1.4,3.7,5,6.2,5.9,Africa
38,Sierra Leone,89.3,1.7,0.9,1.1,0.2,0.6,1.1,Africa
39,Bangladesh,89.1,1.6,1.1,2.1,1.8,1.5,3.7,Asia
40,Mozambique,89,1.2,0.9,1.9,5,5.4,4.2,Africa
41,Djibouti,88.9,0.8,1.6,2.6,4.2,5.9,7.1,Africa
42,Swaziland,88.8,1.2,1.3,1.8,2,4.1,5.1,Africa
43,Lebanon,88.2,1.4,1.5,2.7,3.3,3.8,1.9,Asia
44,Burkina Faso,88,1.4,0.2,0.4,0.8,2,0.8,Africa
44,Malawi,88,0.4,0.7,1.5,1.6,1.2,3.6,Africa
46,Zambia,87.8,1.5,1.1,0.1,0.3,0.4,2.5,Africa
47,Sri Lanka,86.6,1.1,2.9,4.9,5.2,4.5,5.4,Asia
48,Papua New Guinea,86.4,0.2,2.8,2.1,1.3,2.5,2,Asia
49,Iran,85.8,1.1,0.3,0.3,2.8,2.7,3.3,Asia
50,Cambodia,85.7,1.7,0.5,1.1,0.6,1.3,1.1,Asia
51,Equatorial Guinea,85,0.2,0.4,0.1,0.9,1.1,2.9,Africa
52,Comoros,84.8,1,0.5,1.3,0.2,0.8,,Africa
52,Solomon Islands,84.8,0.5,0.6,1.1,0.1,0.3,0.6,Oceania
