"Date","Price","Open","High","Low","Change %"
"Sep 25, 2012","1.2900","1.2933","1.2973","1.2887","-0.24"
"Sep 26, 2012","1.2872","1.2899","1.2913","1.2835","-0.22"
"Sep 27, 2012","1.2914","1.2871","1.2929","1.2828","0.33"
"Sep 28, 2012","1.2858","1.2912","1.2959","1.2837","-0.43"
"Oct 01, 2012","1.2889","1.2859","1.2940","1.2803","0.24"
"Oct 02, 2012","1.2920","1.2888","1.2969","1.2880","0.24"
"Oct 03, 2012","1.2906","1.2919","1.2938","1.2877","-0.11"
"Oct 04, 2012","1.3018","1.2905","1.3032","1.2901","0.87"
"Oct 05, 2012","1.3034","1.3018","1.3072","1.2993","0.12"
"Oct 08, 2012","1.2970","1.3030","1.3036","1.2936","-0.49"
"Oct 09, 2012","1.2885","1.2970","1.2991","1.2858","-0.66"
"Oct 10, 2012","1.2875","1.2885","1.2914","1.2835","-0.08"
"Oct 11, 2012","1.2927","1.2875","1.2954","1.2826","0.40"
"Oct 12, 2012","1.2950","1.2927","1.2992","1.2921","0.18"
"Oct 15, 2012","1.2950","1.2957","1.2980","1.2891","0.00"
"Oct 16, 2012","1.3054","1.2950","1.3062","1.2943","0.80"
"Oct 17, 2012","1.3119","1.3054","1.3141","1.3053","0.50"
"Oct 18, 2012","1.3066","1.3119","1.3129","1.3055","-0.40"
"Oct 19, 2012","1.3022","1.3065","1.3078","1.3012","-0.34"
"Oct 22, 2012","1.3060","1.3013","1.3085","1.3011","0.29"
"Oct 23, 2012","1.2986","1.3060","1.3077","1.2952","-0.57"
"Oct 24, 2012","1.2974","1.2986","1.2999","1.2921","-0.09"
"Oct 25, 2012","1.2934","1.2973","1.3024","1.2926","-0.31"
"Oct 26, 2012","1.2942","1.2934","1.2959","1.2883","0.06"
"Oct 29, 2012","1.2904","1.2948","1.2967","1.2885","-0.29"
"Oct 30, 2012","1.2959","1.2904","1.2986","1.2887","0.43"
"Oct 31, 2012","1.2960","1.2961","1.3023","1.2946","0.01"
"Nov 01, 2012","1.2942","1.2959","1.2982","1.2923","-0.14"
"Nov 02, 2012","1.2837","1.2942","1.2952","1.2820","-0.81"
"Nov 05, 2012","1.2797","1.2812","1.2843","1.2767","-0.31"
"Nov 06, 2012","1.2814","1.2795","1.2828","1.2763","0.13"
"Nov 07, 2012","1.2771","1.2813","1.2877","1.2735","-0.34"
"Nov 08, 2012","1.2747","1.2771","1.2782","1.2718","-0.19"
"Nov 09, 2012","1.2709","1.2747","1.2790","1.2689","-0.30"
"Nov 12, 2012","1.2710","1.2712","1.2742","1.2698","0.01"
"Nov 13, 2012","1.2704","1.2709","1.2728","1.2662","-0.05"
"Nov 14, 2012","1.2736","1.2706","1.2778","1.2700","0.25"
"Nov 15, 2012","1.2780","1.2736","1.2803","1.2717","0.35"
"Nov 16, 2012","1.2744","1.2780","1.2788","1.2689","-0.28"
"Nov 19, 2012","1.2813","1.2739","1.2822","1.2731","0.54"
"Nov 20, 2012","1.2818","1.2813","1.2830","1.2765","0.04"
"Nov 21, 2012","1.2829","1.2817","1.2833","1.2734","0.09"
"Nov 22, 2012","1.2883","1.2828","1.2902","1.2826","0.42"
"Nov 23, 2012","1.2976","1.2883","1.2992","1.2868","0.72"
"Nov 26, 2012","1.2973","1.2972","1.2985","1.2943","-0.02"
"Nov 27, 2012","1.2945","1.2970","1.3010","1.2915","-0.22"
"Nov 28, 2012","1.2953","1.2944","1.2956","1.2880","0.06"
"Nov 29, 2012","1.2978","1.2952","1.3014","1.2938","0.19"
"Nov 30, 2012","1.2986","1.2978","1.3028","1.2969","0.06"
"Dec 03, 2012","1.3054","1.2984","1.3077","1.2972","0.52"
"Dec 04, 2012","1.3094","1.3053","1.3109","1.3045","0.31"
"Dec 05, 2012","1.3068","1.3095","1.3128","1.3061","-0.20"
"Dec 06, 2012","1.2968","1.3068","1.3088","1.2949","-0.77"
"Dec 07, 2012","1.2927","1.2969","1.2974","1.2881","-0.32"
"Dec 10, 2012","1.2941","1.2901","1.2947","1.2879","0.11"
